Test #,Test Name,Count,Mean,SD,Min,Max,Range,QC-Lo-Lim (Mean-4σ),QC-Hi-Lim (Mean+4σ),Units
1420,TxBrd_P146_6571_DIO_20_HSD_HI_Current,123,0.003,2.65E-05,0.003,0.003,8.36E-05,0.002894,0.003106,A
1430,TxBrd_P146_6571_DIO_24_HSD_HI_Current,123,0.003,1.47E-05,0.0029,0.003,6.88E-05,0.0029412,0.0030588,A
1440,TxBrd_P146_6571_DIO_28_HSD_HI_Current,123,0.003,5.47E-05,0.0029,0.003,0.0001346,0.0027812,0.0032188,A
1450,TxBrd_P154_6571_DIO_0_HSD_HI_Current,123,0.003,3.96E-05,0.0029,0.003,0.0001192,0.0028416,0.0031584,A
1460,TxBrd_P154_6571_DIO_4_HSD_HI_Current,123,0.0029,3.79E-05,0.0029,0.003,0.0001344,0.0027484,0.0030516,A
1470,TxBrd_P154_6571_DIO_8_HSD_HI_Current,123,0.003,1.74E-05,0.0029,0.003,8.46E-05,0.0029304,0.0030696,A
1480,TxBrd_P154_6571_DIO_12_HSD_HI_Current,123,0.003,1.14E-05,0.0029,0.003,6.96E-05,0.0029544,0.0030456,A
1490,TxBrd_P174_6571_DIO_1_HSD_LO_Voltage,123,2.9863,0.0013,2.9841,2.9888,0.0047,2.9811,2.9915,V
1500,TxBrd_P174_6571_DIO_2_HSD_LO_Voltage,123,2.9864,0.0014,2.984,2.9887,0.0047,2.9808,2.992,V
1510,TxBrd_P174_6571_DIO_3_HSD_LO_Voltage,123,2.9861,0.0013,2.9837,2.9884,0.0047,2.9809,2.9913,V
1520,TxBrd_P174_6571_DIO_5_HSD_LO_Voltage,123,2.9854,0.0007961,2.984,2.9867,0.0027,2.9822156,2.9885844,V
1530,TxBrd_P174_6571_DIO_6_HSD_LO_Voltage,123,2.9852,0.000801,2.9836,2.9864,0.0029,2.981996,2.988404,V
1540,TxBrd_P174_6571_DIO_7_HSD_LO_Voltage,123,2.9848,0.0007614,2.9834,2.986,0.0027,2.9817544,2.9878456,V
1550,TxBrd_P174_6571_DIO_9_HSD_LO_Voltage,123,2.988,0.0002726,2.9873,2.9888,0.0015,2.9869096,2.9890904,V
1560,TxBrd_P174_6571_DIO_10_HSD_LO_Voltage,123,2.9876,0.0002932,2.9869,2.9885,0.0016,2.9864272,2.9887728,V
1570,TxBrd_P174_6571_DIO_11_HSD_LO_Voltage,123,2.9875,0.0002954,2.9867,2.9881,0.0014,2.9863184,2.9886816,V
1580,TxBrd_P174_6571_DIO_13_HSD_LO_Voltage,123,2.9865,0.0004553,2.9854,2.9875,0.0021,2.9846788,2.9883212,V
1590,TxBrd_P174_6571_DIO_14_HSD_LO_Voltage,123,2.9874,0.0004632,2.9864,2.9885,0.002,2.9855472,2.9892528,V
1600,TxBrd_P174_6571_DIO_15_HSD_LO_Voltage,123,2.9872,0.0004729,2.986,2.9882,0.0021,2.9853084,2.9890916,V
1610,TxBrd_P174_6571_DIO_17_HSD_LO_Voltage,123,2.9876,0.0006778,2.9865,2.9887,0.0022,2.9848888,2.9903112,V
1620,TxBrd_P174_6571_DIO_18_HSD_LO_Voltage,123,2.9874,0.0006411,2.9861,2.9886,0.0024,2.9848356,2.9899644,V
1630,TxBrd_P174_6571_DIO_19_HSD_LO_Voltage,123,2.9878,0.0006455,2.9867,2.9888,0.0021,2.985218,2.990382,V
1640,TxBrd_P174_6571_DIO_21_HSD_LO_Voltage,123,2.9886,0.0007134,2.9873,2.9898,0.0024,2.9857464,2.9914536,V
1650,TxBrd_P174_6571_DIO_22_HSD_LO_Voltage,123,2.9879,0.000616,2.987,2.9892,0.0022,2.985436,2.990364,V
1660,TxBrd_P174_6571_DIO_23_HSD_LO_Voltage,123,2.9882,0.0006414,2.987,2.9894,0.0024,2.9856344,2.9907656,V
1670,TxBrd_P174_6571_DIO_25_HSD_LO_Voltage,123,2.9864,0.0002993,2.9856,2.987,0.0014,2.9852028,2.9875972,V
1680,TxBrd_P174_6571_DIO_26_HSD_LO_Voltage,123,2.9863,0.0004127,2.9854,2.9872,0.0018,2.9846492,2.9879508,V
1690,TxBrd_P174_6571_DIO_27_HSD_LO_Voltage,123,2.9866,0.0003907,2.9856,2.9874,0.0018,2.9850372,2.9881628,V
1700,TxBrd_P174_6571_DIO_29_HSD_LO_Voltage,123,2.9869,0.0005539,2.9857,2.9879,0.0023,2.9846844,2.9891156,V
1710,TxBrd_P174_6571_DIO_30_HSD_LO_Voltage,123,2.986,0.0006649,2.9846,2.9873,0.0026,2.9833404,2.9886596,V
1720,TxBrd_P174_6571_DIO_31_HSD_LO_Voltage,123,2.9862,0.0005972,2.9849,2.9873,0.0024,2.9838112,2.9885888,V
1730,TxBrd_P166_6571_DIO_1_HSD_LO_Voltage,123,2.987,0.0011,2.9853,2.9885,0.0032,2.9826,2.9914,V
1740,TxBrd_P166_6571_DIO_2_HSD_LO_Voltage,123,2.9872,0.0009661,2.9855,2.9887,0.0031,2.9833356,2.9910644,V
1750,TxBrd_P166_6571_DIO_3_HSD_LO_Voltage,123,2.9869,0.0009543,2.9855,2.9885,0.003,2.9830828,2.9907172,V
1760,TxBrd_P166_6571_DIO_5_HSD_LO_Voltage,123,2.9858,0.0014,2.9838,2.9879,0.0041,2.9802,2.9914,V
1770,TxBrd_P166_6571_DIO_6_HSD_LO_Voltage,123,2.9858,0.0013,2.9839,2.9878,0.0039,2.9806,2.991,V
1780,TxBrd_P166_6571_DIO_7_HSD_LO_Voltage,123,2.9855,0.0013,2.9837,2.9875,0.0038,2.9803,2.9907,V
1790,TxBrd_P166_6571_DIO_9_HSD_LO_Voltage,123,2.9865,0.0015,2.9838,2.9888,0.005,2.9805,2.9925,V
1800,TxBrd_P166_6571_DIO_10_HSD_LO_Voltage,123,2.9861,0.0015,2.9835,2.9884,0.0049,2.9801,2.9921,V
1810,TxBrd_P166_6571_DIO_11_HSD_LO_Voltage,123,2.986,0.0016,2.983,2.9886,0.0056,2.9796,2.9924,V
1820,TxBrd_P166_6571_DIO_13_HSD_LO_Voltage,123,2.9851,0.0009773,2.9831,2.9869,0.0037,2.9811908,2.9890092,V
1830,TxBrd_P166_6571_DIO_14_HSD_LO_Voltage,123,2.986,0.0009229,2.984,2.9875,0.0035,2.9823084,2.9896916,V
1840,TxBrd_P166_6571_DIO_15_HSD_LO_Voltage,123,2.9856,0.000932,2.9839,2.9873,0.0033,2.981872,2.989328,V
1850,TxBrd_P166_6571_DIO_17_HSD_LO_Voltage,123,2.9863,0.0013,2.9842,2.9885,0.0043,2.9811,2.9915,V
1860,TxBrd_P166_6571_DIO_18_HSD_LO_Voltage,123,2.9861,0.0013,2.9841,2.9883,0.0042,2.9809,2.9913,V
1870,TxBrd_P166_6571_DIO_19_HSD_LO_Voltage,123,2.9856,0.0011,2.9835,2.9876,0.0041,2.9812,2.99,V
1880,TxBrd_P166_6571_DIO_21_HSD_LO_Voltage,123,2.9875,0.0013,2.9851,2.9895,0.0045,2.9823,2.9927,V
1890,TxBrd_P166_6571_DIO_22_HSD_LO_Voltage,123,2.9868,0.0014,2.9842,2.9889,0.0047,2.9812,2.9924,V
1900,TxBrd_P166_6571_DIO_23_HSD_LO_Voltage,123,2.987,0.0013,2.9847,2.989,0.0043,2.9818,2.9922,V
1910,TxBrd_P166_6571_DIO_25_HSD_LO_Voltage,123,2.9865,0.0009309,2.9849,2.9881,0.0032,2.9827764,2.9902236,V
1920,TxBrd_P166_6571_DIO_26_HSD_LO_Voltage,123,2.9866,0.0008602,2.9853,2.9884,0.0031,2.9831592,2.9900408,V
1930,TxBrd_P166_6571_DIO_27_HSD_LO_Voltage,123,2.9869,0.0008408,2.9854,2.9885,0.0031,2.9835368,2.9902632,V
1940,TxBrd_P166_6571_DIO_29_HSD_LO_Voltage,123,2.9871,0.0009495,2.9856,2.9889,0.0032,2.983302,2.990898,V
1950,TxBrd_P166_6571_DIO_30_HSD_LO_Voltage,123,2.9863,0.000959,2.9849,2.9878,0.0029,2.982464,2.990136,V
