Test Number,Test Name,Pin,Published Data Id,Low Limit,High Limit,Scaling Factor,Base Units,Software Bin,Evaluation Type,Test Data Source,Export Data To
920,TxBrd_DC90_Relay12_Droop,P143_4081_DMM,Relay12_Droop,0.001,0.5,,V,,Numeric Limit,,
930,TxBrd_DC90_Relay13_Droop,P143_4081_DMM,Relay13_Droop,0.001,0.5,,V,,Numeric Limit,,
940,TxBrd_DC90_Relay14_Droop,P143_4081_DMM,Relay14_Droop,0.001,0.5,,V,,Numeric Limit,,
950,TxBrd_DC90_Relay15_Droop,P143_4081_DMM,Relay15_Droop,0.001,0.5,,V,,Numeric Limit,,
960,TxBrd_DC90_Relay16_Droop,P143_4081_DMM,Relay16_Droop,0.001,0.5,,V,,Numeric Limit,,
970,TxBrd_DC90_Relay17_Droop,P143_4081_DMM,Relay17_Droop,0.001,0.5,,V,,Numeric Limit,,
980,TxBrd_DC90_Relay18_Droop,P143_4081_DMM,Relay18_Droop,0.001,0.5,,V,,Numeric Limit,,
990,TxBrd_DC90_Relay19_Droop,P143_4081_DMM,Relay19_Droop,0.001,0.5,,V,,Numeric Limit,,
1000,TxBrd_DC90_Relay20_Droop,P143_4081_DMM,Relay20_Droop,0.001,0.5,,V,,Numeric Limit,,
1010,TxBrd_DC90_Relay21_Droop,P143_4081_DMM,Relay21_Droop,0.001,0.5,,V,,Numeric Limit,,
1020,TxBrd_DC90_Relay22_Droop,P143_4081_DMM,Relay22_Droop,0.001,0.5,,V,,Numeric Limit,,
1030,TxBrd_DC90_Relay23_Droop,P143_4081_DMM,Relay23_Droop,0.001,0.5,,V,,Numeric Limit,,
1040,TxBrd_DC90_Relay24_Droop,P143_4081_DMM,Relay24_Droop,0.001,0.5,,V,,Numeric Limit,,
1050,TxBrd_DC90_Relay25_Droop,P143_4081_DMM,Relay25_Droop,0.001,0.5,,V,,Numeric Limit,,
1060,TxBrd_DC90_Relay26_Droop,P143_4081_DMM,Relay26_Droop,0.001,0.5,,V,,Numeric Limit,,
1070,TxBrd_DC90_Relay27_Droop,P143_4081_DMM,Relay27_Droop,0.001,0.5,,V,,Numeric Limit,,
1080,TxBrd_DC90_Relay28_Droop,P143_4081_DMM,Relay28_Droop,0.001,0.5,,V,,Numeric Limit,,
1090,TxBrd_DC90_Relay29_Droop,P143_4081_DMM,Relay29_Droop,0.001,0.5,,V,,Numeric Limit,,
1100,TxBrd_DC90_Relay30_Droop,P143_4081_DMM,Relay30_Droop,0.001,0.5,,V,,Numeric Limit,,
1110,TxBrd_DC90_Relay31_Droop,P143_4081_DMM,Relay31_Droop,0.001,0.5,,V,,Numeric Limit,,
1120,TxBrd_DC90_Relay32_Droop,P143_4081_DMM,Relay32_Droop,0.001,0.5,,V,,Numeric Limit,,
1130,TxBrd_P174_6571_DIO_0_HSD_HI_Current,P174_6571_DIO_0,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1140,TxBrd_P174_6571_DIO_4_HSD_HI_Current,P174_6571_DIO_4,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1150,TxBrd_P174_6571_DIO_8_HSD_HI_Current,P174_6571_DIO_8,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1160,TxBrd_P174_6571_DIO_12_HSD_HI_Current,P174_6571_DIO_12,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1170,TxBrd_P174_6571_DIO_16_HSD_HI_Current,P174_6571_DIO_16,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1180,TxBrd_P174_6571_DIO_20_HSD_HI_Current,P174_6571_DIO_20,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1190,TxBrd_P174_6571_DIO_24_HSD_HI_Current,P174_6571_DIO_24,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1200,TxBrd_P174_6571_DIO_28_HSD_HI_Current,P174_6571_DIO_28,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1210,TxBrd_P166_6571_DIO_0_HSD_HI_Current,P166_6571_DIO_0,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1220,TxBrd_P166_6571_DIO_4_HSD_HI_Current,P166_6571_DIO_4,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1230,TxBrd_P166_6571_DIO_8_HSD_HI_Current,P166_6571_DIO_8,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1240,TxBrd_P166_6571_DIO_12_HSD_HI_Current,P166_6571_DIO_12,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1250,TxBrd_P166_6571_DIO_16_HSD_HI_Current,P166_6571_DIO_16,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1260,TxBrd_P166_6571_DIO_20_HSD_HI_Current,P166_6571_DIO_20,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1270,TxBrd_P166_6571_DIO_24_HSD_HI_Current,P166_6571_DIO_24,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1280,TxBrd_P166_6571_DIO_28_HSD_HI_Current,P166_6571_DIO_28,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1290,TxBrd_P170_6571_DIO_0_HSD_HI_Current,P170_6571_DIO_0,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1300,TxBrd_P170_6571_DIO_4_HSD_HI_Current,P170_6571_DIO_4,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1310,TxBrd_P170_6571_DIO_9_HSD_HI_Current,P170_6571_DIO_9,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1320,TxBrd_P170_6571_DIO_12_HSD_HI_Current,P170_6571_DIO_12,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1330,TxBrd_P170_6571_DIO_16_HSD_HI_Current,P170_6571_DIO_16,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1340,TxBrd_P170_6571_DIO_20_HSD_HI_Current,P170_6571_DIO_20,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1350,TxBrd_P170_6571_DIO_24_HSD_HI_Current,P170_6571_DIO_24,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1360,TxBrd_P170_6571_DIO_28_HSD_HI_Current,P170_6571_DIO_28,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1370,TxBrd_P146_6571_DIO_0_HSD_HI_Current,P146_6571_DIO_0,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1380,TxBrd_P146_6571_DIO_4_HSD_HI_Current,P146_6571_DIO_4,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1390,TxBrd_P146_6571_DIO_8_HSD_HI_Current,P146_6571_DIO_8,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1400,TxBrd_P146_6571_DIO_12_HSD_HI_Current,P146_6571_DIO_12,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1410,TxBrd_P146_6571_DIO_16_HSD_HI_Current,P146_6571_DIO_16,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1420,TxBrd_P146_6571_DIO_20_HSD_HI_Current,P146_6571_DIO_20,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1430,TxBrd_P146_6571_DIO_24_HSD_HI_Current,P146_6571_DIO_24,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1440,TxBrd_P146_6571_DIO_28_HSD_HI_Current,P146_6571_DIO_28,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1450,TxBrd_P154_6571_DIO_0_HSD_HI_Current,P154_6571_DIO_0,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1460,TxBrd_P154_6571_DIO_4_HSD_HI_Current,P154_6571_DIO_4,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1470,TxBrd_P154_6571_DIO_8_HSD_HI_Current,P154_6571_DIO_8,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1480,TxBrd_P154_6571_DIO_12_HSD_HI_Current,P154_6571_DIO_12,HSD_HI_Current,0.002,0.004,,A,,Numeric Limit,,
1490,TxBrd_P174_6571_DIO_1_HSD_LO_Voltage,P174_6571_DIO_1,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1500,TxBrd_P174_6571_DIO_2_HSD_LO_Voltage,P174_6571_DIO_2,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1510,TxBrd_P174_6571_DIO_3_HSD_LO_Voltage,P174_6571_DIO_3,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1520,TxBrd_P174_6571_DIO_5_HSD_LO_Voltage,P174_6571_DIO_5,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1530,TxBrd_P174_6571_DIO_6_HSD_LO_Voltage,P174_6571_DIO_6,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1540,TxBrd_P174_6571_DIO_7_HSD_LO_Voltage,P174_6571_DIO_7,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1550,TxBrd_P174_6571_DIO_9_HSD_LO_Voltage,P174_6571_DIO_9,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1560,TxBrd_P174_6571_DIO_10_HSD_LO_Voltage,P174_6571_DIO_10,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1570,TxBrd_P174_6571_DIO_11_HSD_LO_Voltage,P174_6571_DIO_11,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1580,TxBrd_P174_6571_DIO_13_HSD_LO_Voltage,P174_6571_DIO_13,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1590,TxBrd_P174_6571_DIO_14_HSD_LO_Voltage,P174_6571_DIO_14,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1600,TxBrd_P174_6571_DIO_15_HSD_LO_Voltage,P174_6571_DIO_15,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1610,TxBrd_P174_6571_DIO_17_HSD_LO_Voltage,P174_6571_DIO_17,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1620,TxBrd_P174_6571_DIO_18_HSD_LO_Voltage,P174_6571_DIO_18,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1630,TxBrd_P174_6571_DIO_19_HSD_LO_Voltage,P174_6571_DIO_19,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1640,TxBrd_P174_6571_DIO_21_HSD_LO_Voltage,P174_6571_DIO_21,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1650,TxBrd_P174_6571_DIO_22_HSD_LO_Voltage,P174_6571_DIO_22,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1660,TxBrd_P174_6571_DIO_23_HSD_LO_Voltage,P174_6571_DIO_23,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1670,TxBrd_P174_6571_DIO_25_HSD_LO_Voltage,P174_6571_DIO_25,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1680,TxBrd_P174_6571_DIO_26_HSD_LO_Voltage,P174_6571_DIO_26,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1690,TxBrd_P174_6571_DIO_27_HSD_LO_Voltage,P174_6571_DIO_27,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1700,TxBrd_P174_6571_DIO_29_HSD_LO_Voltage,P174_6571_DIO_29,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1710,TxBrd_P174_6571_DIO_30_HSD_LO_Voltage,P174_6571_DIO_30,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1720,TxBrd_P174_6571_DIO_31_HSD_LO_Voltage,P174_6571_DIO_31,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1730,TxBrd_P166_6571_DIO_1_HSD_LO_Voltage,P166_6571_DIO_1,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1740,TxBrd_P166_6571_DIO_2_HSD_LO_Voltage,P166_6571_DIO_2,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1750,TxBrd_P166_6571_DIO_3_HSD_LO_Voltage,P166_6571_DIO_3,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1760,TxBrd_P166_6571_DIO_5_HSD_LO_Voltage,P166_6571_DIO_5,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1770,TxBrd_P166_6571_DIO_6_HSD_LO_Voltage,P166_6571_DIO_6,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1780,TxBrd_P166_6571_DIO_7_HSD_LO_Voltage,P166_6571_DIO_7,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1790,TxBrd_P166_6571_DIO_9_HSD_LO_Voltage,P166_6571_DIO_9,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1800,TxBrd_P166_6571_DIO_10_HSD_LO_Voltage,P166_6571_DIO_10,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1810,TxBrd_P166_6571_DIO_11_HSD_LO_Voltage,P166_6571_DIO_11,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1820,TxBrd_P166_6571_DIO_13_HSD_LO_Voltage,P166_6571_DIO_13,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1830,TxBrd_P166_6571_DIO_14_HSD_LO_Voltage,P166_6571_DIO_14,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1840,TxBrd_P166_6571_DIO_15_HSD_LO_Voltage,P166_6571_DIO_15,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1850,TxBrd_P166_6571_DIO_17_HSD_LO_Voltage,P166_6571_DIO_17,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1860,TxBrd_P166_6571_DIO_18_HSD_LO_Voltage,P166_6571_DIO_18,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1870,TxBrd_P166_6571_DIO_19_HSD_LO_Voltage,P166_6571_DIO_19,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1880,TxBrd_P166_6571_DIO_21_HSD_LO_Voltage,P166_6571_DIO_21,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
