--------------------------------------------------------------------------------
File Name:                	TXBoard1.stdf
Lot ID:                   	Default

Test #   Test Name                                   Count         Mean           SD           Min          Max        Range    QC-Lo-Lim    QC-Hi-Lim    Units   
  1190   TxBrd_P174_6571_DIO_2_HSD_LO_Voltage           60       2.9856   0.9684E-03        2.9843       2.9868       0.0026        2.500        3.500   V
  1200   TxBrd_P174_6571_DIO_3_HSD_LO_Voltage           60       2.9854   0.9881E-03        2.9839       2.9865       0.0026        2.500        3.500   V
  1210   TxBrd_P174_6571_DIO_5_HSD_LO_Voltage           60       2.9841   0.3562E-03        2.9833       2.9849       0.0016        2.500        3.500   V
  1220   TxBrd_P174_6571_DIO_6_HSD_LO_Voltage           60       2.9840   0.3709E-03        2.9833       2.9851       0.0018        2.500        3.500   V
  1230   TxBrd_P174_6571_DIO_7_HSD_LO_Voltage           60       2.9837   0.3178E-03        2.9832       2.9845       0.0013        2.500        3.500   V
  1240   TxBrd_P174_6571_DIO_9_HSD_LO_Voltage           60       2.9881   0.3398E-03        2.9872       2.9889       0.0017        2.500        3.500   V
  1250   TxBrd_P174_6571_DIO_10_HSD_LO_Voltage          60       2.9878   0.3053E-03        2.9871       2.9885       0.0014        2.500        3.500   V
  1260   TxBrd_P174_6571_DIO_11_HSD_LO_Voltage          60       2.9876   0.3867E-03        2.9871       2.9883       0.0012        2.500        3.500   V
  1270   TxBrd_P174_6571_DIO_13_HSD_LO_Voltage          60       2.9863   0.7047E-03        2.9854       2.9876       0.0022        2.500        3.500   V
  1280   TxBrd_P174_6571_DIO_14_HSD_LO_Voltage          60       2.9871   0.7103E-03        2.9860       2.9882       0.0022        2.500        3.500   V
  1290   TxBrd_P174_6571_DIO_15_HSD_LO_Voltage          60       2.9870   0.6078E-03        2.9860       2.9881       0.0021        2.500        3.500   V
  1300   TxBrd_P174_6571_DIO_17_HSD_LO_Voltage          60       2.9875   0.7811E-03        2.9863       2.9887       0.0024        2.500        3.500   V
  1310   TxBrd_P174_6571_DIO_18_HSD_LO_Voltage          60       2.9873   0.6463E-03        2.9861       2.9882       0.0020        2.500        3.500   V
  1320   TxBrd_P174_6571_DIO_19_HSD_LO_Voltage          60       2.9876   0.6488E-03        2.9863       2.9886       0.0023        2.500        3.500   V
  1330   TxBrd_P174_6571_DIO_21_HSD_LO_Voltage          60       2.9882   0.7132E-03        2.9871       2.9893       0.0022        2.500        3.500   V
  1340   TxBrd_P174_6571_DIO_22_HSD_LO_Voltage          60       2.9876   0.6912E-03        2.9865       2.9885       0.0020        2.500        3.500   V
  1350   TxBrd_P174_6571_DIO_23_HSD_LO_Voltage          60       2.9880   0.5743E-03        2.9870       2.9888       0.0017        2.500        3.500   V
  1360   TxBrd_P174_6571_DIO_25_HSD_LO_Voltage          60       2.9864   0.4435E-03        2.9858       2.9873       0.0015        2.500        3.500   V
  1370   TxBrd_P174_6571_DIO_26_HSD_LO_Voltage          60       2.9860   0.4145E-03        2.9852       2.9869       0.0017        2.500        3.500   V
